AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
2.90,106.06,114.28,-2.48,7.3329,48.63,84,140,2122,30.09,16,17.19,9.73,SmoothCondition,LowCongestionCondition,1
3.10,105.83,114.11,-0.23,7.2939,56.86,84,166,2110,20.40,16,17.02,9.69,SmoothCondition,LowCongestionCondition,1
3.50,104.71,113.92,-1.13,7.3874,10.59,83,125,2083,14.65,15,17.02,9.61,SmoothCondition,LowCongestionCondition,1
3.10,103.13,113.70,-1.58,7.4264,30.98,83,116,2064,22.44,14,17.07,9.58,SmoothCondition,LowCongestionCondition,1
3.20,102.23,113.47,-0.90,7.4381,53.33,83,148,2057,31.11,16,17.09,9.56,SmoothCondition,LowCongestionCondition,1
3.50,102.46,113.23,0.23,7.4264,77.25,83,185,2066,49.61,16,17.16,9.57,SmoothCondition,LowCongestionCondition,1
3.30,102.46,112.99,0.00,7.3718,100.00,83,250,2096,49.49,16,17.16,9.58,SmoothCondition,LowCongestionCondition,1
3.80,105.38,112.79,2.93,7.3406,100.00,83,224,2144,49.49,18,17.20,9.58,SmoothCondition,LowCongestionCondition,1
3.80,105.38,112.59,0.00,7.2315,100.00,83,221,2171,48.14,18,17.13,9.61,SmoothCondition,LowCongestionCondition,1
3.60,107.19,112.43,1.80,7.2198,100.00,84,224,2208,48.91,18,17.28,9.64,SmoothCondition,LowCongestionCondition,1
4.30,110.11,112.32,2.93,7.1496,100.00,84,229,2245,50.45,17,17.27,9.67,SmoothCondition,LowCongestionCondition,1
3.90,110.11,112.24,0.00,7.1262,100.00,84,232,2268,52.00,17,17.31,9.70,SmoothCondition,LowCongestionCondition,1
4.10,110.56,112.18,0.45,7.1301,100.00,84,233,2297,53.67,17,17.39,9.75,SmoothCondition,LowCongestionCondition,1
4.10,112.59,112.17,02.03,7.095,97.25,85,221,2321,51.32,17,17.42,9.80,SmoothCondition,LowCongestionCondition,1
5.10,114.84,112.22,2.25,7.1145,79.22,85,199,2321,48.57,17,17.46,9.85,SmoothCondition,LowCongestionCondition,1
5.80,115.74,112.27,0.90,7.0599,64.31,85,176,2324,41.85,16,17.46,9.88,SmoothCondition,LowCongestionCondition,1
5.60,115.29,112.32,-0.45,7.056,58.04,85,161,2305,38.37,16,17.49,9.89,SmoothCondition,LowCongestionCondition,1
6.30,114.84,112.36,-0.45,7.0638,39.22,86,148,2301,32.79,15,17.56,9.89,SmoothCondition,LowCongestionCondition,1
6.10,113.49,112.37,-1.35,6.9859,44.71,86,146,2277,30.45,15,17.49,9.89,SmoothCondition,LowCongestionCondition,1
5.60,112.59,112.36,-0.90,7.0287,45.49,86,149,2259,31.42,14,17.47,9.89,SmoothCondition,LowCongestionCondition,1
6.10,111.91,112.33,-0.68,7.0521,32.16,86,149,2236,23.47,14,17.42,9.88,SmoothCondition,LowCongestionCondition,1
6.20,110.11,112.27,-1.80,7.1183,30.20,86,129,2214,19.37,14,17.68,9.85,SmoothCondition,LowCongestionCondition,1
6.60,108.54,112.15,-1.58,7.0599,26.27,86,121,2185,21.13,14,17.62,9.83,SmoothCondition,LowCongestionCondition,1
5.10,108.54,112.01,0.00,7.1339,20.78,85,121,2151,16.52,14,17.60,9.79,SmoothCondition,LowCongestionCondition,1
5.30,105.38,111.81,-3.15,7.1924,0.00,85,110,2112,16.22,14,17.52,9.75,SmoothCondition,LowCongestionCondition,1
0.00,60.57,61.98,-1.58,7.6096,12.16,81,106,1890,12.99,15,17.11,9.46,SmoothCondition,LowCongestionCondition,1
0.10,60.80,62.03,0.23,7.6096,20.00,81,107,1889,13.23,15,17.06,9.45,SmoothCondition,LowCongestionCondition,1
0.20,60.12,62.06,-0.68,7.5979,23.14,81,107,1893,12.79,14,17.07,9.44,SmoothCondition,LowCongestionCondition,1
0.90,60.35,62.07,0.23,7.5707,22.75,81,108,1889,13.60,15,17.10,9.43,SmoothCondition,LowCongestionCondition,1
1.30,59.90,62.06,-0.45,7.5824,23.92,81,108,1904,12.97,15,17.31,9.42,SmoothCondition,LowCongestionCondition,1
2.20,60.12,62.03,0.23,7.6213,6.27,81,105,1904,12.72,15,17.25,9.41,SmoothCondition,LowCongestionCondition,1
3.30,59.67,61.94,-0.45,7.6408,0.00,81,109,1887,18.30,16,17.20,9.42,SmoothCondition,LowCongestionCondition,1
2.60,58.77,61.82,-0.90,7.6174,17.65,81,108,1845,14.46,17,17.21,9.44,SmoothCondition,LowCongestionCondition,1
2.20,59.22,61.67,0.45,7.6018,09.02,81,105,1842,12.80,15,17.16,9.43,SmoothCondition,LowCongestionCondition,1
0.50,58.10,61.45,-1.13,7.6018,0.00,81,107,1830,17.12,15,17.14,9.45,SmoothCondition,LowCongestionCondition,1
-0.50,57.42,61.16,-0.68,7.6914,0.00,80,107,1776,18.43,17,17.22,9.46,SmoothCondition,LowCongestionCondition,1
-0.70,54.72,60.84,-2.70,7.6759,2.35,80,109,1734,18.84,17,17.22,9.47,SmoothCondition,LowCongestionCondition,1
-0.30,53.82,60.45,-0.90,7.6447,14.90,80,109,1687,17.90,17,17.26,9.49,SmoothCondition,LowCongestionCondition,1
-0.10,53.37,60.08,-0.45,7.6213,11.37,80,105,1665,12.12,16,17.22,9.49,SmoothCondition,LowCongestionCondition,1
-0.20,53.37,59.80,0.00,7.6213,15.29,80,105,1667,11.11,14,17.20,9.51,SmoothCondition,LowCongestionCondition,1
-1.70,52.24,59.58,-1.13,7.6524,19.22,80,104,1640,11.93,14,17.19,9.51,SmoothCondition,LowCongestionCondition,1
-1.40,52.24,59.47,0.00,7.7615,0.00,80,104,1637,15.52,15,17.19,9.52,SmoothCondition,LowCongestionCondition,1
-1.50,51.57,59.44,-0.68,7.8432,0.00,79,106,1536,14.97,16,17.17,9.52,SmoothCondition,LowCongestionCondition,1
-1.80,44.36,59.41,-7.21,7.8705,0.00,79,106,1414,14.58,15,17.22,9.51,SmoothCondition,LowCongestionCondition,1
-1.40,41.43,59.42,-2.93,7.851,45.88,79,107,1321,14.12,16,17.32,9.50,SmoothCondition,LowCongestionCondition,1
-1.20,41.43,59.48,0.00,7.7458,71.37,79,109,1310,15.09,15,17.36,9.50,SmoothCondition,LowCongestionCondition,1
-1.50,43.01,59.56,1.58,7.738,71.37,79,118,1362,16.97,16,17.44,9.51,SmoothCondition,LowCongestionCondition,1
-1.70,43.68,59.68,0.68,7.6639,70.98,79,124,1425,18.08,16,17.42,9.51,SmoothCondition,LowCongestionCondition,1
-1.70,46.16,59.80,2.48,7.6444,68.24,79,130,1482,19.37,17,17.46,9.52,SmoothCondition,LowCongestionCondition,1
-0.80,49.31,59.94,3.15,7.5898,61.18,79,134,1541,20.91,17,17.24,9.52,SmoothCondition,LowCongestionCondition,1
0.20,51.79,60.05,2.48,7.547,61.18,79,139,1605,22.41,17,17.27,9.52,SmoothCondition,LowCongestionCondition,1
0.70,51.12,60.11,-0.68,7.5509,5.10,79,123,1601,16.37,15,17.27,9.51,SmoothCondition,LowCongestionCondition,1
2.00,49.54,60.09,-1.58,7.5703,0.00,80,112,1557,15.35,16,17.17,9.50,SmoothCondition,LowCongestionCondition,1
3.00,47.96,60.01,-1.58,7.6327,0.00,80,110,1486,16.23,15,17.11,9.49,SmoothCondition,LowCongestionCondition,1
3.00,45.04,59.85,-2.93,7.695,0.00,80,109,1382,14.83,15,16.99,9.49,SmoothCondition,LowCongestionCondition,1
2.70,42.11,59.58,-2.93,7.7417,0.00,80,108,1292,13.31,15,16.86,9.48,SmoothCondition,LowCongestionCondition,1
2.50,38.06,59.21,-4.05,7.9323,0.00,80,106,1140,10.96,14,16.70,9.47,SmoothCondition,LowCongestionCondition,1
2.60,30.85,58.73,-7.21,8.0919,18.82,80,105,1241,10.77,14,16.57,9.47,SmoothCondition,LowCongestionCondition,1
2.70,24.09,58.07,-6.76,8.2671,18.82,80,104,939,6.78,13,16.49,9.46,SmoothCondition,LowCongestionCondition,1
2.00,16.66,57.28,-7.43,8.2671,21.96,80,102,885,7.80,13,16.36,9.46,SmoothCondition,LowCongestionCondition,1
1.90,15.09,56.47,-1.58,8.1151,19.22,80,102,1054,7.85,13,16.30,9.47,SmoothCondition,LowCongestionCondition,1
1.50,14.19,55.61,-0.90,7.8423,36.47,80,102,1006,11.10,14,16.26,9.50,SmoothCondition,LowCongestionCondition,1
1.20,19.37,54.81,5.18,7.7177,71.76,80,108,1243,14.59,15,16.30,9.52,SmoothCondition,LowCongestionCondition,1
1.20,19.37,53.98,0.00,7.6475,14.90,80,112,1342,14.03,16,16.38,9.55,SmoothCondition,LowCongestionCondition,1
2.60,18.69,53.13,-0.68,7.628,34.12,80,108,1322,9.88,16,16.43,9.60,SmoothCondition,LowCongestionCondition,1
3.40,20.94,52.32,2.25,7.6007,50.98,80,108,1469,17.26,16,16.52,9.64,SmoothCondition,LowCongestionCondition,1
3.90,21.17,51.49,0.23,7.5695,41.18,80,126,1738,23.95,18,16.44,9.68,SmoothCondition,LowCongestionCondition,1
3.90,24.99,50.73,3.83,7.6748,22.75,80,138,1914,18.45,18,16.51,9.71,SmoothCondition,LowCongestionCondition,1
3.80,27.02,49.99,02.03,7.7956,10.59,80,124,2003,14.08,17,16.54,9.73,SmoothCondition,LowCongestionCondition,1
8.40,10.58,,2.70,-0.39,29.41,35,101,1844,14.25,22,0.24,51.09,SmoothCondition,LowCongestionCondition,1
8.70,12.16,,1.58,-398,23.53,36,101,1924,14.80,21,0.23,48.23,SmoothCondition,LowCongestionCondition,1
10.50,13.29,,1.13,-426,21.96,36,102,1895,14.99,22,0.20,46.48,SmoothCondition,LowCongestionCondition,1
-2.50,13.74,,0.45,-0.41,19.61,36,102,1784,13.93,21,0.18,44.74,SmoothCondition,LowCongestionCondition,1
-2.90,13.29,,-0.45,-402,19.61,36,101,1670,13.37,20,0.16,43.71,SmoothCondition,LowCongestionCondition,1
-3.30,12.16,,-1.13,-465,22.35,36,100,1613,12.05,20,0.20,42.83,SmoothCondition,LowCongestionCondition,1
0.30,11.71,,-0.45,-527,31.37,36,100,1770,14.59,20,0.30,42.58,SmoothCondition,LowCongestionCondition,1
0.90,12.61,,0.90,-0.59,30.59,36,103,2021,18.40,21,0.25,42.65,SmoothCondition,LowCongestionCondition,1
1.60,12.61,,0.00,-609,28.24,36,107,2172,19.49,22,0.23,42.68,SmoothCondition,LowCongestionCondition,1
1.10,12.84,,0.23,-719,20.00,36,102,1147,12.44,19,0.32,40.76,SmoothCondition,LowCongestionCondition,1
0.20,14.41,,1.58,-765,67.84,36,104,1417,15.75,20,0.36,39.48,SmoothCondition,LowCongestionCondition,0
-1.60,17.56,,3.15,-742,38.43,37,106,1535,12.09,21,0.37,37.00,SmoothCondition,LowCongestionCondition,0
-1.50,21.17,,3.60,-801,33.73,37,102,1569,12.46,19,0.39,35.00,SmoothCondition,LowCongestionCondition,0
-1.00,22.29,,1.13,-836,32.94,37,101,1637,12.97,19,0.45,33.37,SmoothCondition,LowCongestionCondition,0
-0.40,22.97,,0.68,-793,30.98,37,102,1685,12.99,20,0.39,31.92,SmoothCondition,LowCongestionCondition,1
0.00,23.64,,0.68,-676,20.00,37,101,1633,13.74,19,0.33,30.97,SmoothCondition,LowCongestionCondition,1
-0.50,22.52,,-1.13,-523,0.00,37,100,1445,13.31,20,0.22,30.28,SmoothCondition,LowCongestionCondition,1
-0.50,19.82,,-2.70,-234,0.00,38,100,1040,5.58,20,0.06,28.01,SmoothCondition,LowCongestionCondition,1
-0.10,15.31,,-4.50,-0.41,23.53,38,99,924,6.47,17,-0.18,27.64,SmoothCondition,LowCongestionCondition,1
0.50,9.91,,-5.40,-527,26.27,38,99,938,6.93,17,-0.18,27.68,SmoothCondition,LowCongestionCondition,1
0.60,8.78,,-1.13,-594,60.00,38,98,1376,15.12,20,-0.13,28.25,SmoothCondition,LowCongestionCondition,1
0.60,10.36,,1.58,-637,39.22,38,104,1810,18.59,22,-0.10,28.74,SmoothCondition,LowCongestionCondition,1
0.60,12.16,,1.80,-625,27.06,38,108,2071,18.16,22,0.02,29.05,SmoothCondition,LowCongestionCondition,1
0.50,14.41,,2.25,-641,23.92,38,107,2082,17.90,22,0.04,29.32,SmoothCondition,LowCongestionCondition,1
0.30,14.64,,0.23,-644,20.00,38,106,2001,16.32,21,0.04,29.57,SmoothCondition,LowCongestionCondition,1
0.40,13.96,,-0.68,-566,14.51,38,103,1768,14.10,21,-0.02,29.74,SmoothCondition,LowCongestionCondition,1
0.10,12.61,,-1.35,-656,14.90,38,101,1527,11.28,19,-0.27,29.86,SmoothCondition,LowCongestionCondition,1
0.20,10.58,,-2.03,-644,24.71,38,99,1414,9.47,18,-0.33,30.00,SmoothCondition,LowCongestionCondition,1
0.30,9.91,,-0.68,-617,21.96,38,99,1443,11.35,18,-0.30,30.18,SmoothCondition,LowCongestionCondition,1
0.30,10.58,,0.68,-422,23.53,39,99,1530,11.23,19,-0.34,30.35,SmoothCondition,LowCongestionCondition,1
0.00,10.58,,0.00,-375,21.96,39,99,1405,10.07,19,-0.41,30.43,SmoothCondition,LowCongestionCondition,1
-0.10,10.13,,-0.45,-355,21.57,39,99,1248,10.79,19,-0.47,30.62,SmoothCondition,LowCongestionCondition,1
-0.40,09.01,,-1.13,-238,14.12,39,99,1001,6.22,19,-0.54,30.59,SmoothCondition,LowCongestionCondition,1
-0.30,6.98,,-2.03,-152,25.49,39,99,902,6.10,17,-0.62,30.79,SmoothCondition,LowCongestionCondition,1
-0.10,5.85,,-1.13,-254,28.24,39,99,902,5.75,17,-0.56,31.07,SmoothCondition,LowCongestionCondition,1
-0.10,4.95,,-0.90,-375,54.90,39,98,1119,12.29,17,-0.49,31.43,SmoothCondition,LowCongestionCondition,1
-0.70,8.33,,3.38,-469,43.14,39,101,1587,12.85,20,-0.42,31.58,SmoothCondition,LowCongestionCondition,0
-1.10,10.36,,02.03,-648,31.37,39,102,1525,10.96,21,-0.31,31.48,SmoothCondition,LowCongestionCondition,1
-1.90,12.61,,2.25,-461,34.51,39,100,967,7.97,18,-0.06,31.08,SmoothCondition,LowCongestionCondition,1
-2.60,13.74,,1.13,-297,42.75,39,99,1080,7.84,18,-0.07,30.53,SmoothCondition,LowCongestionCondition,1
-2.70,15.54,,1.80,-246,30.98,39,99,1136,7.65,18,-0.13,29.91,SmoothCondition,LowCongestionCondition,1
-2.70,15.99,,0.45,-219,48.63,39,99,1223,10.64,20,-0.18,29.62,SmoothCondition,LowCongestionCondition,1
-2.70,17.34,,1.35,-285,38.43,39,100,1294,11.37,20,-0.23,29.36,SmoothCondition,LowCongestionCondition,1
-2.90,18.24,,0.90,-352,51.76,40,100,1416,13.89,20,-0.20,29.19,SmoothCondition,LowCongestionCondition,1
3.70,26.12,49.24,-0.90,7.8424,9.41,80,113,1947,13.28,15,16.52,9.75,SmoothCondition,LowCongestionCondition,1
3.50,24.54,48.49,-1.58,7.9125,1.18,80,108,1797,15.52,15,16.54,9.78,SmoothCondition,LowCongestionCondition,1
2.80,23.87,47.73,-0.68,7.9943,0.00,80,109,1627,16.47,17,16.57,9.80,SmoothCondition,LowCongestionCondition,1
3.00,19.82,46.90,-4.05,8.0488,0.00,80,109,1371,12.41,15,16.58,9.81,SmoothCondition,LowCongestionCondition,1
2.20,16.21,46.00,-3.60,8.0644,16.86,80,106,1016,10.58,14,16.58,9.83,SmoothCondition,LowCongestionCondition,1
2.00,11.48,45.02,-4.73,8.076,16.86,80,104,954,6.28,13,16.66,9.84,SmoothCondition,LowCongestionCondition,1
1.50,5.85,43.96,-5.63,7.9202,23.14,80,102,839,07.05,13,16.75,9.87,SmoothCondition,LowCongestionCondition,1
0.50,04.05,42.86,-1.80,7.7101,30.20,80,102,826,7.94,13,16.90,9.90,SmoothCondition,LowCongestionCondition,1
0.10,3.60,41.76,-0.45,7.6245,21.57,80,102,938,6.57,14,16.95,9.93,SmoothCondition,LowCongestionCondition,0
-0.10,0.00,40.62,-3.60,7.4572,25.10,80,101,853,6.69,13,17.01,9.93,SmoothCondition,LowCongestionCondition,0
-0.20,0.00,39.50,0.00,7.4961,26.67,80,101,857,7.97,13,17.13,9.93,SmoothCondition,LowCongestionCondition,0
-0.20,0.00,38.41,0.00,7.5234,38.82,80,102,859,7.77,14,17.20,9.93,SmoothCondition,LowCongestionCondition,0
-0.40,0.00,37.32,0.00,7.6288,26.27,80,101,891,6.64,13,17.28,9.97,SmoothCondition,LowCongestionCondition,0
-0.50,0.00,36.25,0.00,7.5859,31.76,80,101,811,6.76,14,17.32,9.97,SmoothCondition,LowCongestionCondition,0
-0.80,0.00,35.19,0.00,7.5937,25.88,80,101,797,5.89,13,17.23,9.97,SmoothCondition,LowCongestionCondition,0
-0.90,0.00,34.16,0.00,7.5352,32.55,80,100,1113,10.33,14,17.22,9.97,SmoothCondition,LowCongestionCondition,0
-0.10,0.00,33.15,0.00,7.6248,32.55,80,104,784,6.69,14,17.09,10.01,SmoothCondition,LowCongestionCondition,0
0.10,0.00,32.13,0.00,7.695,19.22,80,101,914,5.75,14,17.11,10.06,SmoothCondition,LowCongestionCondition,0
0.00,0.00,31.13,0.00,7.6794,21.96,80,101,821,5.60,14,17.07,10.06,SmoothCondition,LowCongestionCondition,0
0.00,0.00,30.13,0.00,7.5937,25.49,80,101,807,5.23,14,17.05,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,29.13,0.00,7.5937,34.51,80,100,778,6.32,14,17.09,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,28.12,0.00,7.4963,28.63,80,100,848,05.04,14,17.09,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,27.13,0.00,7.3833,24.31,80,100,809,5.82,14,17.12,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,26.15,0.00,7.2938,25.10,80,100,802,5.00,14,17.18,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,25.16,0.00,7.1886,25.88,80,100,802,5.43,14,17.26,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,24.20,0.00,7.0834,25.88,80,100,805,4.90,14,17.31,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,23.24,0.00,7.1146,26.27,80,100,797,4.90,14,17.29,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,22.33,0.00,7.1029,24.71,80,100,799,5.40,14,17.28,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,21.43,0.00,7.0328,23.53,80,100,803,4.80,14,17.32,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,20.54,0.00,6.9977,24.31,80,100,805,5.14,14,17.33,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,19.65,0.00,6.9315,24.71,80,100,809,05.05,15,17.35,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,18.78,0.00,6.9315,24.71,80,100,802,4.68,14,17.33,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,17.91,0.00,6.9627,25.10,80,100,801,5.12,15,17.31,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,17.05,0.00,7.1955,25.88,80,100,799,4.65,15,17.29,10.06,SmoothCondition,LowCongestionCondition,1
0.00,0.00,16.31,0.00,7.0133,25.49,80,100,796,4.47,14,17.29,10.06,SmoothCondition,LowCongestionCondition,1
,,,,-273,40.00,35,99,856,9.18,19,0.01,114.51,SmoothCondition,LowCongestionCondition,1
,,,,-195,29.41,35,99,890,8.88,20,0.02,114.51,SmoothCondition,LowCongestionCondition,1
,,,,79,43.14,35,99,871,8.79,20,0.00,114.51,SmoothCondition,LowCongestionCondition,1
,,,,-507,37.65,35,98,983,9.88,20,0.03,114.51,SmoothCondition,LowCongestionCondition,1
,0.00,,,-101,31.76,35,99,858,8.42,20,0.07,114.51,SmoothCondition,LowCongestionCondition,1
,0.00,,,-0.18,48.63,35,99,847,9.18,19,0.13,114.51,SmoothCondition,LowCongestionCondition,1
,1.58,,1.58,-277,58.04,35,99,944,10.26,20,0.19,75.75,SmoothCondition,LowCongestionCondition,1
,4.50,,2.93,-328,48.63,35,99,1393,15.35,22,0.22,68.00,SmoothCondition,LowCongestionCondition,1
,7.88,,3.38,-367,34.51,35,102,1660,12.70,22,0.23,56.91,SmoothCondition,LowCongestionCondition,1
-2.90,20.49,,2.25,-355,13.33,40,103,1531,11.66,21,-0.21,28.85,SmoothCondition,LowCongestionCondition,1
-2.70,20.94,,0.45,-328,13.33,40,100,1452,13.21,20,-0.22,28.63,SmoothCondition,LowCongestionCondition,1
-2.40,19.82,,-1.13,-215,8.63,40,99,1304,9.73,19,-0.13,28.29,SmoothCondition,LowCongestionCondition,1
-1.90,18.24,,-1.58,-258,20.00,40,99,1287,8.35,19,0.35,27.84,SmoothCondition,LowCongestionCondition,1
-1.60,18.24,,0.00,-406,62.75,40,102,1456,16.39,20,0.43,27.83,SmoothCondition,LowCongestionCondition,1
-1.70,21.39,,3.15,-516,63.92,40,112,1684,21.03,22,0.46,27.85,SmoothCondition,LowCongestionCondition,1
-1.50,24.77,13.39,3.38,-621,43.53,40,120,1875,24.47,23,0.53,27.90,SmoothCondition,LowCongestionCondition,1
-1.30,27.02,13.63,2.25,-672,38.43,40,123,2007,20.87,22,0.65,27.84,SmoothCondition,LowCongestionCondition,1
-1.20,28.60,13.89,1.58,-648,32.94,40,117,2118,20.24,21,0.85,27.72,SmoothCondition,LowCongestionCondition,1
-1.00,30.17,14.17,1.58,-625,27.06,41,113,2149,18.74,21,0.88,27.56,SmoothCondition,LowCongestionCondition,1
-0.70,30.17,14.43,0.00,-516,28.63,41,111,2162,18.57,21,0.80,27.37,SmoothCondition,LowCongestionCondition,1
-0.50,30.85,14.95,0.68,-445,27.45,41,111,2209,18.72,21,0.80,27.21,SmoothCondition,LowCongestionCondition,1
0.40,31.07,15.47,0.23,-477,22.35,41,111,2206,19.22,20,0.73,27.06,SmoothCondition,LowCongestionCondition,0
1.10,31.30,15.96,0.23,-359,23.14,42,110,2187,18.30,20,0.74,26.90,SmoothCondition,LowCongestionCondition,0
0.70,30.62,16.40,-0.68,-293,23.14,42,108,2164,18.30,20,0.71,26.90,SmoothCondition,LowCongestionCondition,0
0.50,30.40,16.77,-0.23,-352,23.53,42,107,2159,17.73,20,0.66,26.72,SmoothCondition,LowCongestionCondition,0
0.30,30.17,17.10,-0.23,-355,21.18,42,107,2130,17.63,20,0.78,26.56,SmoothCondition,LowCongestionCondition,1
0.30,29.95,17.40,-0.23,-352,19.22,42,107,2108,17.48,20,0.77,26.41,SmoothCondition,LowCongestionCondition,1
-0.10,29.50,17.67,-0.45,-266,16.08,43,105,2075,17.79,20,0.69,26.29,SmoothCondition,LowCongestionCondition,1
-0.20,28.82,17.92,-0.68,-664,0.39,43,105,1968,19.80,20,0.74,26.24,SmoothCondition,LowCongestionCondition,1
-0.50,26.35,18.13,-2.48,-664,3.92,43,103,1786,18.08,20,0.77,26.20,SmoothCondition,LowCongestionCondition,1
-1.60,23.42,18.32,-2.93,-352,3.14,43,102,1550,13.42,20,0.86,26.09,SmoothCondition,LowCongestionCondition,1
-2.50,20.49,18.47,-2.93,156,0.00,43,100,1376,12.87,18,0.80,26.01,SmoothCondition,LowCongestionCondition,1
-2.50,17.56,18.55,-2.93,234,7.84,43,100,1165,9.82,18,0.30,25.88,SmoothCondition,LowCongestionCondition,1
-2.60,14.86,18.59,-2.70,273,25.49,43,99,1027,6.56,17,0.18,25.64,SmoothCondition,LowCongestionCondition,1
-2.60,12.16,18.58,-2.70,387,28.24,43,99,903,5.64,15,0.06,25.46,SmoothCondition,LowCongestionCondition,1
-2.60,7.66,18.46,-4.50,562,29.41,43,99,899,5.99,16,0.02,25.54,SmoothCondition,LowCongestionCondition,0
-2.40,3.83,18.24,-3.83,629,28.63,43,99,815,5.98,16,-0.08,25.75,SmoothCondition,LowCongestionCondition,0
-2.30,02.03,17.92,-1.80,566,32.94,43,99,841,5.40,16,-0.25,25.75,SmoothCondition,LowCongestionCondition,0
-2.30,0.00,17.55,-2.03,457,33.73,43,99,832,5.62,16,-0.23,25.75,SmoothCondition,LowCongestionCondition,0
-1.90,0.00,17.16,0.00,453,34.90,43,99,833,5.91,17,-0.17,25.75,SmoothCondition,LowCongestionCondition,0
-1.30,0.00,16.77,0.00,434,35.29,43,99,825,5.17,17,-0.20,25.75,SmoothCondition,LowCongestionCondition,0
-0.70,0.00,16.39,0.00,477,34.12,43,99,838,5.65,17,-0.15,25.75,SmoothCondition,LowCongestionCondition,0
-0.40,0.00,16.06,0.00,0.34,34.51,43,99,840,5.53,18,-0.18,25.75,SmoothCondition,LowCongestionCondition,0
-0.30,0.00,15.81,0.00,305,33.33,43,99,821,5.24,17,-0.18,25.75,SmoothCondition,LowCongestionCondition,0
-0.20,0.00,15.64,0.00,352,31.76,43,99,852,5.55,18,-0.13,25.75,SmoothCondition,LowCongestionCondition,0
-0.10,0.00,15.50,0.00,391,33.33,44,99,834,5.53,18,-0.23,25.75,SmoothCondition,LowCongestionCondition,0
-0.10,0.00,15.32,0.00,406,33.73,44,99,844,5.26,18,-0.18,25.75,SmoothCondition,LowCongestionCondition,0
0.00,0.00,15.12,0.00,391,35.69,44,99,840,5.75,18,-0.13,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.88,0.00,234,34.12,44,99,825,5.33,18,-0.21,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.64,0.00,223,34.51,44,99,827,5.46,18,-0.20,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.40,0.00,148,33.33,44,99,841,5.79,18,-0.25,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.19,0.00,125,34.51,44,99,830,5.99,19,-0.13,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.02,0.00,203,34.90,44,99,838,5.48,19,0.01,25.75,SmoothCondition,LowCongestionCondition,1
0.00,0.00,16.03,0.00,668,32.55,52,99,803,4.95,18,-0.29,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,15.32,0.00,547,32.16,52,99,792,4.95,18,-0.27,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,14.61,0.00,473,32.16,52,99,808,4.76,18,-0.24,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,13.90,0.00,355,30.20,52,99,811,5.12,18,-0.20,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,13.19,0.00,164,30.59,52,99,796,05.02,18,-0.11,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,12.51,0.00,-859,31.76,52,99,808,5.31,19,0.04,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,11.85,0.00,-0.16,30.98,52,99,797,4.78,19,0.07,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,11.22,0.00,-0.18,31.76,52,99,806,4.68,18,0.08,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,10.64,0.00,-156,30.98,52,99,795,4.92,18,0.07,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,10.11,0.00,-195,34.12,52,99,806,05.09,18,0.11,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,9.68,0.00,-184,24.71,52,99,1040,7.43,19,0.09,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,9.36,0.00,-359,39.61,52,99,833,05.04,20,0.19,21.76,SmoothCondition,LowCongestionCondition,1
0.00,0.00,09.09,0.00,-426,43.53,52,100,1038,10.02,21,0.23,21.89,SmoothCondition,LowCongestionCondition,1
